sample_id,circuit_name,implementation_id,config_hash,white_space_ratio,white_space_clustering,routing_congestion,routing_overflow,signal_activity,avg_transition_probability,cc0_average,cc1_average,observability_average,observability_variance,critical_path_delay,average_path_delay,vulnerability_score,vulnerability_label,white_space_ratio_normalized,white_space_clustering_normalized,routing_congestion_normalized,routing_overflow_normalized,signal_activity_normalized,avg_transition_probability_normalized,cc0_average_normalized,cc1_average_normalized,observability_average_normalized,observability_variance_normalized,critical_path_delay_normalized,average_path_delay_normalized,vulnerability_score_normalized
0,c1355,1,,0.05,0.0,0.8953498610405609,0.0,0.12024260160025851,0.0,0.6642121239112724,0.8863247346204408,0.47110297352047104,0.0,0.5,0.0,0.3933719495722002,High,0.0,0.0,0.887305307795535,0.0,0.05055698787652326,0.0,0.6069513808212444,0.9773068966007866,0.2851678383778547,0.0,0.6000000000000001,0.0,0.6809576041406927
1,c1355,2,,0.05,0.0,0.7886523037017116,0.0,0.18527598620769037,0.0,0.4693499351257629,0.7031060416111049,0.8672194469937378,0.0,0.5,0.0,0.36265100211493384,High,0.0,0.0,0.7682717684777336,0.0,0.21315236369752424,0.0,0.28210074851059286,0.6719020536077467,0.9453828253289911,0.0,0.6000000000000001,0.0,0.6107366801328696
2,c1355,3,,0.05,0.0,0.8776542680116496,0.0,0.44869920567517463,0.0,0.5489230984471294,0.5426121646078769,0.4811637626340284,0.0,0.5,0.0,0.4804564528775439,High,0.0,0.0,0.8675638149151559,0.0,0.8717586722549133,0.0,0.414755485589205,0.4043769091891171,0.301936350161987,0.0,0.6000000000000001,0.0,0.8800124769557284
3,c1355,4,,0.05,0.0,0.8587555806193281,0.0,0.42897870951541983,0.0,0.5418329058018736,0.751052058648719,0.4432860866026772,0.0,0.5,0.0,0.4595037238955511,High,0.0,0.0,0.8464801302941055,0.0,0.8224538190041184,0.0,0.4029355754343882,0.7518226423042725,0.2388048949929921,0.0,0.6000000000000001,0.0,0.8321194231478122
4,c1355,5,,0.05,0.0,0.8244607247612474,0.0,0.4319966067185673,0.0,0.3130948299227496,0.33457636482667524,0.7492548720317125,0.0,0.5,0.0,0.4711528240809025,High,0.0,0.0,0.8082202284275911,0.0,0.8299991148994029,0.0,0.021611168447224105,0.05760475551006008,0.7487689868880963,0.0,0.6000000000000001,0.0,0.8587465504528197
5,c1355,6,,0.05,0.0,0.8586769421877625,0.0,0.26654474254402427,0.0,0.8804587409430762,0.6824388576042871,0.4519360484008873,0.0,0.35,0.0,0.4088305286729837,High,0.0,0.0,0.8463923999742264,0.0,0.41633914320740556,0.0,0.9674515410403449,0.6374521949004321,0.2532219536062298,0.0,0.0,0.0,0.7162923121543379
6,c1355,7,,0.05,0.0,0.7687081973902927,0.0,0.20292302518764882,0.0,0.3910594997516734,0.30140186796539453,0.6881096606582646,0.0,0.35,0.0,0.4239812044233618,High,0.0,0.0,0.7460217974194525,0.0,0.2572731941355313,0.0,0.15158442005477485,0.002306620593355493,0.6468570805867043,0.0,0.0,0.0,0.7509232248895121
7,c1355,8,,0.05,0.0,0.7921724293196616,0.0,0.13989832459082108,0.0,0.5263239912275631,0.3748041395253208,0.5406691987636456,0.0,0.35,0.0,0.41919782397193195,High,0.0,0.0,0.7721988781660759,0.0,0.09969989633770746,0.0,0.3770809920628435,0.12465990700147053,0.4011152113523896,0.0,0.0,0.0,0.7399895323122373
8,c1355,9,,0.05,0.0,0.6892692622903263,0.0,0.2790361627321919,0.0,0.6845792888416274,0.731058319723928,0.8411857515514201,0.0,0.35,0.0,0.3346525206740757,Medium,0.0,0.0,0.6573984227103562,0.0,0.44756998214179883,0.0,0.6409050505774838,0.7184953403959541,0.9019919616619702,0.0,0.0,0.0,0.5467386787584716
9,c1355,10,,0.05,0.0,0.9317230615534148,0.0,0.3415818821048616,0.0,0.6955758566156571,0.4473356350860872,0.5048733983876474,0.0,0.35,0.0,0.4694943031947112,High,0.0,0.0,0.9278838449368404,0.0,0.6039457391284947,0.0,0.6592371960640181,0.24556170828578333,0.34145365860017857,0.0,0.0,0.0,0.8549555583528321
10,c1355,11,,0.05,0.0,0.7673472331644773,0.0,0.15744471809533755,0.0,0.5097104880379071,0.523143921674337,0.7236026456452751,0.0,0.6,0.0,0.38232088485911897,High,0.0,0.0,0.7445034834793381,0.0,0.14356909464857004,0.0,0.349384972379952,0.3719255496754612,0.7060139250738536,0.0,1.0,0.0,0.6556974465071342
11,c1355,12,,0.05,0.0,0.7746981065857034,0.0,0.11882089306313381,0.0,0.4769218878685675,0.4688238213047379,0.5921137124375722,0.0,0.6,0.0,0.40137947449135436,High,0.0,0.0,0.7527042380441955,0.0,0.047002456072633425,0.0,0.2947237907316466,0.2813800848418142,0.4868587771933371,0.0,1.0,0.0,0.6992609393363548
12,c1355,13,,0.05,0.0,0.6936010610528858,0.0,0.2248491397449527,0.0,0.43716815113948726,0.6563790321790843,0.3713659116949175,0.0,0.6,0.0,0.4116268396786487,High,0.0,0.0,0.6622310482285056,0.0,0.31209249745580986,0.0,0.22845117728293016,0.594013412745139,0.1189341485887667,0.0,1.0,0.0,0.7226840272179499
13,c1355,14,,0.05,0.0,0.7854862753437777,0.0,0.47078963538647345,0.0,0.6864813598537778,0.5091349344374827,0.6444390635977948,0.0,0.6,0.0,0.4322487971155595,High,0.0,0.0,0.7647396954816428,0.0,0.9269887935631864,0.0,0.6440759529205593,0.3485741520790109,0.5740704519074701,0.0,1.0,0.0,0.7698210143855561
14,c1355,15,,0.05,0.0,0.9072598000550686,0.0,0.14727513638275563,0.0,0.5767572337274498,0.4030165294257993,0.3384818011271712,0.0,0.6,0.0,0.4665309514238382,High,0.0,0.0,0.9005922304703788,0.0,0.11814327727060331,0.0,0.46115718364046226,0.17168677072642363,0.06412556554999647,0.0,1.0,0.0,0.8481820270416519
15,c1355,16,,0.05,0.0,0.7686069186343282,0.0,0.12281472876790334,0.0,0.6197744592477334,0.8636963063426681,0.8163568711469453,0.0,0.55,0.0,0.326535569734653,Medium,0.0,0.0,0.7459088091835374,0.0,0.05698777701670318,0.0,0.5328702902087962,0.9395878654700478,0.8606091865187951,0.0,0.8000000000000003,0.0,0.5281852211906253
16,c1355,17,,0.05,0.0,0.791877035120528,0.0,0.14483322129125886,0.0,0.3315103934394247,0.6800167937329044,0.52852041182781,0.0,0.55,0.0,0.4117114958898174,High,0.0,0.0,0.771869331568255,0.0,0.112038042176019,0.0,0.05231136477589082,0.6334148883122824,0.3808665932174607,0.0,0.8000000000000003,0.0,0.7228775315810407
17,c1355,18,,0.05,0.0,0.878402197387598,0.0,0.3706691890076722,0.0,0.7086015185920285,0.39561896991080064,0.3447846597481126,0.0,0.55,0.0,0.48341416767435597,High,0.0,0.0,0.8683982171545263,0.0,0.6766693352634991,0.0,0.6809520015666222,0.15935587552625585,0.07463066190636031,0.0,0.8000000000000003,0.0,0.8867731234583358
18,c1355,19,,0.05,0.0,0.7692039429215821,0.0,0.37392304501860296,0.0,0.8745285863412002,0.73181109198413,0.5766526464582689,0.0,0.55,0.0,0.38487563350491333,High,0.0,0.0,0.7465748592388806,0.0,0.6848045714065715,0.0,0.9575655057652317,0.7197501266307014,0.4610895195195199,0.0,0.8000000000000003,0.0,0.6615370063307681
19,c1355,20,,0.05,0.0,0.8120324051426905,0.0,0.30015117300432104,0.0,0.4912168352993137,0.3692908706714364,0.799512320846692,0.0,0.55,0.0,0.42229638619232024,High,0.0,0.0,0.7943549918760975,0.0,0.5003613761525112,0.0,0.31855459516152457,0.1154699112589881,0.8325340487716396,0.0,0.8000000000000003,0.0,0.7470721231898155
20,c1355,21,,0.4669061033193249,0.0,0.747839824177212,0.0,0.20101116131674265,0.0,0.7892802469004774,0.4346103010313861,0.8201465948788536,0.0,0.5,0.0,0.3352684223595151,Medium,0.46322900368813885,0.0,0.7227406990952517,0.0,0.25249318419932604,0.0,0.815449802645247,0.22435001538929514,0.866925592353351,0.0,0.6000000000000001,0.0,0.5481464864281307
21,c1355,22,,0.4760779996509327,0.0,0.8364462371096557,0.0,0.28980935396466606,0.0,0.31830161298748877,0.7109450247411789,0.6127432811236457,0.0,0.5,0.0,0.413088881393118,High,0.47341999961214754,0.0,0.8215914619492491,0.0,0.47450493390248993,0.0,0.030291286336830224,0.6849687520583428,0.5212424782837257,0.0,0.6000000000000001,0.0,0.7260259137359625
22,c1355,23,,0.5046880725265334,0.0,0.8442878564992123,0.0,0.47831092228588423,0.0,0.6169403440957104,0.45772758532654184,0.8380167581322713,0.0,0.5,0.0,0.4127718532638983,High,0.505208969473926,0.0,0.830339700739362,0.0,0.9457933887330265,0.0,0.528145596798987,0.26288391422148344,0.896710139044177,0.0,0.6000000000000001,0.0,0.7253012613403537
23,c1355,24,,0.5188661223647795,0.0,0.7879094229058312,0.0,0.314499980313956,0.0,0.8792252816146318,0.60828630337925,0.5719143265954971,0.0,0.5,0.0,0.36756706358002744,High,0.5209623581830883,0.0,0.767442998516824,0.0,0.536236023169216,0.0,0.9653952670896521,0.5138482721310651,0.45319207016847374,0.0,0.6000000000000001,0.0,0.6219736505758653
24,c1355,25,,0.49911442483065355,0.0,0.8152083646936594,0.0,0.27336413761589556,0.0,0.5168632324523762,0.605339081177483,0.5668441515168829,0.0,0.5,0.0,0.4013706313257868,High,0.4990160275896151,0.0,0.7978981442734988,0.0,0.4333888802198028,0.0,0.36130916126584406,0.5089355859907355,0.4447415113113371,0.0,0.6000000000000001,0.0,0.6992407259214475
25,c1355,26,,0.5264833683536349,0.0,0.7329824736931329,0.0,0.4889924307448189,0.0,0.5318547122424316,0.8984313422049439,0.3166317671038848,0.0,0.35,0.0,0.417014397108161,High,0.5294259648373721,0.0,0.7061655959990438,0.0,0.972499116763322,0.0,0.3863011400556975,0.9974872424366513,0.02770769127913639,0.0,0.0,0.0,0.7349987275172103
26,c1355,27,,0.5503363921752067,0.0,0.7610335154679652,0.0,0.4662502182818262,0.0,0.7211606069765104,0.8299522699896171,0.38423111136660254,0.0,0.35,0.0,0.40051148408479464,High,0.5559293246391186,0.0,0.7374597967969662,0.0,0.9156394191673465,0.0,0.7018889921052798,0.8833403726237263,0.14037682568545284,0.0,0.0,0.0,0.697276915618879
27,c1355,28,,0.5157751140522939,0.0,0.8636436612267467,0.0,0.16443144549312297,0.0,0.30787882977415737,0.4086739148348267,0.6760667296445008,0.0,0.35,0.0,0.4176048181723455,High,0.5175279045025488,0.0,0.8519333529327825,0.0,0.1610371931315142,0.0,0.012915684952128281,0.18111699246972077,0.6267848945642714,0.0,0.0,0.0,0.7363482924268989
28,c1355,29,,0.49419353004863253,0.0,0.7793439280092935,0.0,0.20577328707371967,0.0,0.7786960387017967,0.366300525281473,0.5750795303970695,0.0,0.35,0.0,0.3788532884355025,High,0.4935483667207029,0.0,0.7578871923768066,0.0,0.2643993710268537,0.0,0.7978050930826667,0.11048534364027794,0.4584675765573637,0.0,0.0,0.0,0.647771329472779
29,c1355,30,,0.5081001129734104,0.0,0.6917331041123276,0.0,0.15648302745052087,0.0,0.7000855079628483,0.7059429856872428,0.42668959263170747,0.0,0.35,0.0,0.34333531046130694,Medium,0.5090001255260116,0.0,0.6601471249272274,0.0,0.14116469185204636,0.0,0.6667551404162093,0.6766309185828329,0.21114319752708782,0.0,0.0,0.0,0.5665855120201474
30,c1355,31,,0.49052817276486865,0.0,0.7192121819875392,0.0,0.2563591873335587,0.0,0.40221074755854425,0.5754598641710487,0.5420033406811016,0.0,0.6,0.0,0.3907075274239392,High,0.4894757475165208,0.0,0.6908032334479514,0.0,0.3908733891583392,0.0,0.17017442935156118,0.4591303099639052,0.40333885148757725,0.0,1.0,0.0,0.6748673562582648
31,c1355,32,,0.5231172808314335,0.0,0.7835623368439805,0.0,0.1157572069351009,0.0,0.6324141314910026,0.7282606159918374,0.5029318145923134,0.0,0.6,0.0,0.3538450151232134,High,0.5256858675904817,0.0,0.7625933182376601,0.0,0.039342679476473116,0.0,0.5539416203935605,0.7138318846371215,0.338217583339634,0.0,1.0,0.0,0.5906082467823149
32,c1355,33,,0.4796062649092949,0.0,0.7117666415527388,0.0,0.4324784933772978,0.0,0.5688489248057664,0.3110138408316515,0.6181771206645945,0.0,0.6,0.0,0.41698865961006215,High,0.4773402943436611,0.0,0.6824968668150819,0.0,0.8312039198292459,0.0,0.4479734091497395,0.01832869244561455,0.5302991637332496,0.0,1.0,0.0,0.7349398975966596
33,c1355,34,,0.5458164013614707,0.0,0.7071251026777993,0.0,0.3540799346349267,0.0,0.790950483598966,0.8715714363229727,0.6341650415383282,0.0,0.6,0.0,0.3295727721651955,Medium,0.5509071126238564,0.0,0.677318690163759,0.0,0.6351931601326957,0.0,0.8182342189088337,0.9527148166325154,0.556946540648616,0.0,1.0,0.0,0.5351275578932342
34,c1355,35,,0.5456777857718612,0.0,0.6953602632383253,0.0,0.3634246681899512,0.0,0.4279284775262769,0.3134037677256283,0.5268381730963414,0.0,0.6,0.0,0.4216169712002778,High,0.5507530953020681,0.0,0.6641936429469907,0.0,0.6585567060022228,0.0,0.21304791288206024,0.022312430326457456,0.37806277339041133,0.0,1.0,0.0,0.745519138907923
35,c1355,36,,0.5087265919710429,0.0,0.6708610411380234,0.0,0.21508291210341102,0.0,0.3966009918801623,0.6267565313862369,0.42518412272126965,0.0,0.55,0.0,0.3811263186101372,High,0.5096962133011588,0.0,0.6368619102450835,0.0,0.2876751391510654,0.0,0.16082252434326558,0.5446360536170515,0.20863400171263474,0.0,0.8000000000000003,0.0,0.652966946547498
36,c1355,37,,0.4975083432127216,0.0,0.6135407810105152,0.0,0.21336995604438186,0.0,0.7164233937518524,0.328301674880553,0.6441751393753947,0.0,0.55,0.0,0.338934510828711,Medium,0.4972314924585796,0.0,0.5729144909435732,0.0,0.2833924351850338,0.0,0.6939916841615902,0.047145556907831086,0.5736305643018875,0.0,0.8000000000000003,0.0,0.5565263100048436
37,c1355,38,,0.49545832705258436,0.0,0.7082723985514601,0.0,0.3998891298577224,0.0,0.641822257508591,0.4088205303023327,0.8758769927438208,0.0,0.55,0.0,0.3642409609997571,High,0.4949536967250938,0.0,0.6785986321970414,0.0,0.7497245405655217,0.0,0.5696257082338957,0.18136138387486925,0.9598125242614837,0.0,0.8000000000000003,0.0,0.6143709554813771
38,c1355,39,,0.5166381818093598,0.0,0.7740381774655352,0.0,0.37533413211936595,0.0,0.3038117529947709,0.5434090678622012,0.5090367515658698,0.0,0.55,0.0,0.43751486440212484,High,0.5184868686770665,0.0,0.7519680103288502,0.0,0.6883325476736795,0.0,0.006135547298568765,0.4057052568007616,0.3483927998586361,0.0,0.8000000000000003,0.0,0.7818580165406612
39,c1355,40,,0.46785440679399404,0.0,0.7489464585195152,0.0,0.1250019909220552,0.0,0.7698471050864666,0.5246439657587985,0.8629949712738578,0.0,0.55,0.0,0.3120168475858843,Medium,0.464282674215549,0.0,0.7239752784593945,0.0,0.06245633311477732,0.0,0.7830532230655486,0.37442595354022545,0.938341809948286,0.0,0.8000000000000003,0.0,0.49499880706334104
40,c1355,41,,0.6856413085481715,0.0,0.7208592223748307,0.0,0.3324685873796879,0.0,0.6591016886567236,0.6949900104927065,0.6841268146198896,0.0,0.5,0.0,0.34354947271708725,Medium,0.7062681206090795,0.0,0.6926406986307394,0.0,0.5811608327338514,0.0,0.5984318823276183,0.6583735474890244,0.6402187940691111,0.0,0.6000000000000001,0.0,0.5670750370098767
41,c1355,42,,0.6557637894078328,0.0,0.6309857440056408,0.0,0.355620948327244,0.0,0.3441838840708256,0.6930384620114501,0.5526713623731998,0.0,0.5,0.0,0.36978007949639446,High,0.6730708771198142,0.0,0.5923763768608227,0.0,0.6390459766816133,0.0,0.07343907288002902,0.6551205368506338,0.4211194495538135,0.0,0.6000000000000001,0.0,0.6270320890471226
42,c1355,43,,0.6603497344015391,0.0,0.6393141620642534,0.0,0.1797735625251197,0.0,0.6739312458524529,0.6255055183316596,0.8336688784606552,0.0,0.5,0.0,0.2868338415186171,Medium,0.6781663715572657,0.0,0.6016676962045878,0.0,0.19939529643131101,0.0,0.6231539233861958,0.5425507563188333,0.8894634439105679,0.0,0.6000000000000001,0.0,0.43743632602990384
43,c1355,44,,0.6825910089337983,0.0,0.6605674884297036,0.0,0.22129373003528988,0.0,0.3852688660531269,0.42096272099600296,0.7378709016185194,0.0,0.5,0.0,0.3523295464053611,High,0.7028788988153315,0.0,0.6253782545589986,0.0,0.30320332182040555,0.0,0.14193097712581965,0.2016010427300002,0.729795103242468,0.0,0.6000000000000001,0.0,0.5871442385898409
44,c1355,45,,0.6537078685746874,0.0,0.5790883016236225,0.0,0.227333718401125,0.0,0.8157856281992852,0.8275934328228751,0.8366597533161602,0.0,0.5,0.0,0.249265238683973,Medium,0.6707865206385416,0.0,0.5344787416913994,0.0,0.3183043992781703,0.0,0.8596363630457886,0.8794084578025771,0.8944483928736484,0.0,0.6000000000000001,0.0,0.3515632582021196
45,c1355,46,,0.6538341745430318,0.0,0.6658648951133428,0.0,0.13559543714281874,0.0,0.418627246002401,0.7788192828140756,0.7984660486319111,0.0,0.35,0.0,0.29987728788676404,Medium,0.6709268606033687,0.0,0.631288128060196,0.0,0.08894188941639068,0.0,0.19754202659067346,0.7981074650878363,0.8307902066370975,0.0,0.0,0.0,0.46725060364916776
46,c1355,47,,0.6536521148145126,0.0,0.6118518294981181,0.0,0.41670317017184233,0.0,0.6921188704960348,0.41465568449601486,0.4221135340157826,0.0,0.35,0.0,0.38445646121760046,High,0.6707245720161251,0.0,0.5710302690244311,0.0,0.7917627217311898,0.0,0.6534741276419315,0.1910879260802046,0.2035161921341794,0.0,0.0,0.0,0.66057887620231
47,c1355,48,,0.6382888438337554,0.0,0.5899542702229084,0.0,0.4861389218457547,0.0,0.7852025664340914,0.5801553719380929,0.8886749390509525,0.0,0.35,0.0,0.31224654056567963,Medium,0.6536542709263949,0.0,0.5466009939036172,0.0,0.9653648217446541,0.0,0.808651987809428,0.46695719044652967,0.9811431088748362,0.0,0.0,0.0,0.495523831667539
48,c1355,49,,0.6451188166894976,0.0,0.757910222156714,0.0,0.15372302822183148,0.0,0.7155106526955806,0.7683342269048952,0.579227123750254,0.0,0.35,0.0,0.3274736174051246,Medium,0.6612431296549973,0.0,0.7339753997176107,0.0,0.13426418814055507,0.0,0.6924700728571407,0.7806300625307001,0.4653804506106467,0.0,0.0,0.0,0.5303293794811705
49,c1355,50,,0.683520896946989,0.0,0.6452130428333616,0.0,0.10215956364375818,0.0,0.7071326757192713,0.39089922376219366,0.7818872797844101,0.0,0.35,0.0,0.29856848126523483,Medium,0.7039121077188767,0.0,0.6082485840287648,0.0,0.005346080120899601,0.0,0.6785033246891117,0.15148859240242704,0.8031580519772699,0.0,0.0,0.0,0.4642589768303927
50,c1355,51,,0.6597820204873543,0.0,0.6687466272020672,0.0,0.21051102986055345,0.0,0.5739241072828515,0.7726573556691712,0.45648050588478606,0.0,0.6,0.0,0.34027578183936136,Medium,0.6775355783192826,0.0,0.6345030354905243,0.0,0.2762445959619933,0.0,0.45643413848388326,0.7878362293240913,0.2607962887812467,0.0,1.0,0.0,0.559592142848827
51,c1355,52,,0.6412501382902237,0.0,0.6633349733939571,0.0,0.4509837570050119,0.0,0.8746338907254447,0.3115350259648774,0.3108511957500882,0.0,0.6,0.0,0.40983671385436626,High,0.6569445981002485,0.0,0.6284657060294921,0.0,0.8774704691158569,0.0,0.9577410564763271,0.019197449127418054,0.018073101211590233,0.0,1.0,0.0,0.7185922169101382
52,c1355,53,,0.6915132033239442,0.0,0.6711185525641099,0.0,0.4121546848038796,0.0,0.5189231960633194,0.7902424274179922,0.729959264718183,0.0,0.6,0.0,0.3420016237226543,Medium,0.7127924481377158,0.0,0.6371491942019647,0.0,0.7803906750157293,0.0,0.36474328301990283,0.8171485554206233,0.7166086250151991,0.0,1.0,0.0,0.5635370150538529
53,c1355,54,,0.7014966036135439,0.0,0.6973237234779036,0.0,0.22046221665838603,0.0,0.49064653161621186,0.7833344771482951,0.36936776310907715,0.0,0.6,0.0,0.3637325855141569,High,0.7238851151261599,0.0,0.6663841112899963,0.0,0.30112438604251246,0.0,0.31760385395708984,0.8056337834676703,0.1156037956979621,0.0,1.0,0.0,0.6132089276373001
54,c1355,55,,0.7105784872788928,0.0,0.5786530291312306,0.0,0.18820025169762197,0.0,0.4875473725238185,0.6761892789145432,0.6286228985502604,0.0,0.6,0.0,0.30698466836359467,Medium,0.7339760969765476,0.0,0.5339931445828121,0.0,0.22046356315617086,0.0,0.3124373114017075,0.6270348539230208,0.5477093437492666,0.0,1.0,0.0,0.4834964184975689
55,c1355,56,,0.6306425063248571,0.0,0.687997639555441,0.0,0.15537648419793043,0.0,0.7819425160495477,0.4349848632751918,0.7619699322508224,0.0,0.55,0.0,0.3124099844832729,Medium,0.6451583403609523,0.0,0.6559797795981277,0.0,0.13839813099867546,0.0,0.8032172267848082,0.22497436829445847,0.7699614236555844,0.0,0.8000000000000003,0.0,0.4958974263599821
56,c1355,57,,0.6853011041411728,0.0,0.7325681523133667,0.0,0.11531017695651596,0.0,0.6050723015452886,0.4992952073290672,0.6851363816739853,0.0,0.55,0.0,0.3334780883569412,Medium,0.7058901157124143,0.0,0.705703372294222,0.0,0.038225022632837675,0.0,0.5083606341501381,0.33217243965937865,0.6419014590024873,0.0,0.8000000000000003,0.0,0.5440542002732768
